rating,comment
bintang 4,barang sesuai hanya kabel canger gak bisa dipakai yg lain oke
bintang 2,agak kurang puas
bintang 4,Barang bagus packing aman cuma pengiriman agak lama ni sampai 4 hari dari tgl pembelian biasa 2 hari.
bintang 5,pengiriman cepat dan pengemasan rapi . sesuai dgn yg d pilih
bintang 5,mantap ga mengecewakan beli disini selain cepat
bintang 5,"barang sampai dengan baik, dan lengkap"
bintang 5,berfungsi dengan baik
bintang 2,pengiriman ok sayang kualitas tdk sesuai headset sebelah kiri tdk bisa di on (sll off) tempat charger nya jg tdk hidup saat diangkat headset keduanya.
bintang 5,bagus
bintang 5,berfungsi dengan baik. respon cepat.
bintang 5,sesuai pesanan
bintang 5,"Mantap gan, respon cepat dan baik, barang sudah sampai dg baik. barang sesuai dengan pesanan, semoga awet. Makasih gan"
bintang 4,cpet hbis batreny
bintang 4,"paket sesuai,,minus nya budeg sebelah, lampu indikator speaker kalo mati suara juga mati,ke senggol mati"
bintang 5,barang mantap sesuai dengan harga
bintang 2,"respon sangat lambat,pesanan tidak sesuai gambar dan deskripsi seharusnya hitam ini malah putih, mengkonfirmasi barangnya sangat lambat,dan bahannya tidak sesuai dengan h..."
bintang 5,joss
bintang 5,mantap sih ini harga murah barangnya ngak murahan... ini sudah diluar nurul... semoga awek makasih penjual 👍👍👍
bintang 5,barang ok
bintang 5,puas karena lebih cepet sampe
bintang 5,manteb 👍semoga bisa awet🥰
bintang 3,barang nya baguss. tapi hanya bisa mono tidak bisa stereo
bintang 5,batre awet
bintang 5,Berfungsing dengan baik. tapi belum coba buat telpon
bintang 5,"Packing rapi, pengiriman cepat, sejauh ini aman dan kualitas audio bagus."
bintang 5,packing nya lumayan tipis untuk ukuran headset kualitas setara harga Joss dah
bintang 5,headset nya knpa GK bisa di pake barengan?🤣
bintang 5,packing-nya aman barang sampai dengan selamat dan berfungsi normal
bintang 5,mantabs
bintang 5,manteb sehhh ini dengan harga segitu
bintang 5,"Barang bagus, berfungsi dengan baik, pas dicas juga tidak kendor, overall mantap lah"
bintang 3,salah satu bagian tidak berfungsi semestinya
bintang 5,"packing aman rapih, suara bagus gada yang rusak siih"
bintang 5,"packing rapi seller ramah, pokoknya the best🔥🔥🔥🔥"
bintang 5,"berfungsi dgn baik qualitas sesuai dgn harga, lumayan dahhh"
bintang 2,satu tidak berfungsi
bintang 5,murah meriah
bintang 5,ok mantab sesuai pesanan kurir josss
bintang 5,"barang sampai dgn selamat cuma packing agak penyot dikit,,barang oklah"
bintang 5,mantap nian nih euy
bintang 5,"barang ok, pengiriman cepat & selalu update status pengiriman"
bintang 4,"Untuk headset aman2 saja, cuma box nya pas di buka sedikit rusak"
bintang 5,lumayan
bintang 3,"kemasan pada penyok, untung barang tidak apa2 cuman kardus aja yg penyok"
bintang 4,barang bagus
bintang 3,"lubang casnya agak miring, jadi harus maksa dikit masukan port pas ngecasnya"
bintang 5,"sesuai pesanan, berfungsi dengan baik semoga awet"
bintang 4,"pengirimanan, sangat Cepat, Barang Biasa ajah. pesan 2 buah dgn barang yg sama. datangnya Material barangnya tdk sama (berbeda bahan). Dus nya udah penyok penyok. saat di..."
bintang 5,untuk harga segini oke lah. bass masih kurang. pairing stereo sering putus. jarak conecting ga bs terlalu jauh. batre agak cepet habis. kualitas sesuai dengannharga
bintang 5,"packing rapi dan kuat, proses kirim cepat, barang berfungsi baik.."
bintang 5,"Barang sesuai pesanan, proses dan pengiriman cepat, cuma selernya rada lama bales chat mungkin lagi banyak pesanan, barang sudah dicoba dan berfungsi dengan baik. Semoga..."
bintang 3,"warna,ny tidak sesuai"
bintang 3,"Kabel cas micro tidak berfungsi, sisanya aman"
bintang 4,"ngebass cokk, gacocok ama kuping gw tapi pasti bakalan cocok ama kuping kalian yg suka suara ngebass A.K.A semberr, vocok buat kuping orang indo yg doyang dangdut tapi ga..."
bintang 5,Bass nendang Batre lumayan awet
bintang 5,"untuk harga segini udah seneng deh kalo bisa berfungsi dengan baik. tap untuk pause n play juga berfungsi, tap untuk naik turunin volume juga berfungsi walau agak sedikit..."
bintang 5,"Barang sudah saya terima dengan baik, tws nya bagus, suara bass mantap benar kerasa banget volume suara kenceng, gak nyesel pokok nya, semoga awet."
bintang 5,manttapppp
bintang 5,mantap dah berfungsi semua
bintang 5,Good
bintang 1,"kualitas barang kurang bagus, casenya susah dibuka dan agak keras, dibuka pun tidak bisa maksimal, cuma terbuka sedikit, seperti ada yang mengganjal di engselnya, lalu lu..."
bintang 5,baru sampe...semoga awet dan bisa jadi langganan.
bintang 5,Sesuai harga
bintang 5,"barang bagus, cepat sekali sampe nya... soale pengiriman ok bangett"
bintang 5,mantap jiwa joss
bintang 5,"bagus, ga jeda, tahan 2 hari"
bintang 3,indikator baterai pada masing² tws tidak berfungsi dengan baik
bintang 5,"Barang sesuai, dan memuaskan, seller juga cepat respon..."
bintang 5,"Terima kasih, namun ada satu headset yang bagian kiri yang tidak ada suaranya keluar"
