rating,comment,sentiment,clean_comment
5,bagus,positive,bagus
3,1tidak menyala,neutral,nyala
5,puas brangnya sesusai,positive,puas barang sesuai
5,lumayan lah walaupun bass nya kurang,positive,lumayan bass kurang
4,"barang udah sampai, packing bagus, barang mulus, dan lagi di cas, cuma belum sempet saya coba, semoga awet",positive,barang udah packing bagus barang mulus lagi cas belum saya coba moga awet
5,lumayan..,positive,lumayan
1,"barang gue ga sampe, bacaannya tunggu investigasi dari kurir, tiba"" pelanggan tidak menindak lanjuti proses komplain",negative,barang gue sampai baca tunggu investigasi kurir langgan tindak lanjut proses komplain
4,barang sesuai hanya kabel canger gak bisa dipakai yg lain oke,positive,barang sesuai kabel cas bisa pakai lain oke
2,agak kurang puas,negative,kurang puas
4,barang bagus packing aman cuma pengiriman agak lama ni sampai 4 hari dari tgl pembelian biasa 2 hari.,positive,barang bagus packing aman kirim lama sampai dari tanggal beli hari
5,pengiriman cepat dan pengemasan rapi . sesuai dgn yg d pilih,positive,kirim cepat emas rapi sesuai yang pilih
5,mantap ga mengecewakan beli disini selain cepat,positive,mantap kecewa beli selain cepat
5,"barang sampai dengan baik, dan lengkap",positive,barang dengan dan lengkap
5,berfungsi dengan baik,positive,fungsi baik
2,pengiriman ok sayang kualitas tdk sesuai headset sebelah kiri tdk bisa di on (sll off) tempat charger nya jg tdk hidup saat diangkat headset keduanya.,negative,kirim sayang kualitas sesuai headset belah kiri bisa on mati charger juga hidup angkat headset
5,bagus,positive,bagus
5,berfungsi dengan baik. respon cepat.,positive,fungsi baik respon cepat
5,sesuai pesanan,positive,sesuai pesan
5,"mantap gan, respon cepat dan baik, barang sudah sampai dg baik. barang sesuai dengan pesanan, semoga awet. makasih gan",positive,mantap juragan respon cepat baik barang sampai baik barang sesuai pesan moga awet terima kasih juragan
4,cpet hbis batreny,positive,cepat habis baterai
4,"paket sesuai,,minus nya budeg sebelah, lampu indikator speaker kalo mati suara juga mati,ke senggol mati",positive,paket sesuai minus tuli belah lampu indikator speaker kalo mati suara mati senggol mati
5,barang mantap sesuai dengan harga,positive,barang mantap sesuai harga
2,"respon sangat lambat,pesanan tidak sesuai gambar dan deskripsi seharusnya hitam ini malah putih, mengkonfirmasi barangnya sangat lambat,dan bahannya tidak sesuai dengan h...",negative,respon lambat pesan sesuai gambar deskripsi hitam malah putih konfirmasi barang lambat bahan sesuai
5,joss,positive,mantap
5,mantap sih ini harga murah barangnya ngak murahan... ini sudah diluar nurul... semoga awek makasih penjual 👍👍👍,positive,mantap sih harga murah barang murah sudah luar nalar moga awet terima kasih jual
5,barang ok,positive,barang
5,puas karena lebih cepet sampe,positive,puas lebih cepat
5,manteb 👍semoga bisa awet🥰,positive,mantap moga awet
3,barang nya baguss. tapi hanya bisa mono tidak bisa stereo,neutral,barang bagus hanya mono bisa stereo
5,batre awet,positive,baterai awet
5,berfungsing dengan baik. tapi belum coba buat telpon,positive,fungsi baik belum coba telpon
5,"packing rapi, pengiriman cepat, sejauh ini aman dan kualitas audio bagus.",positive,packing rapi kirim cepat ini aman kualitas audio bagus
5,packing nya lumayan tipis untuk ukuran headset kualitas setara harga joss dah,positive,packing lumayan tipis ukur headset kualitas tara harga mantap dah
5,headset nya knpa gk bisa di pake barengan?🤣,positive,headset kenapa gak di pake bareng
5,packing-nya aman barang sampai dengan selamat dan berfungsi normal,positive,packing aman barang dengan selamat fungsi normal
5,mantabs,positive,mantap
5,manteb sehhh ini dengan harga segitu,positive,mantap sih dengan harga segitu
5,"barang bagus, berfungsi dengan baik, pas dicas juga tidak kendor, overall mantap lah",positive,barang bagus fungsi baik pas cas tidak kendor mantap
3,salah satu bagian tidak berfungsi semestinya,neutral,salah bagi fungsi mesti
5,"packing aman rapih, suara bagus gada yang rusak siih",positive,packing aman rapih suara bagus ada rusak
5,"packing rapi seller ramah, pokoknya the best🔥🔥🔥🔥",positive,packing rapi jual ramah pokok the best
5,"berfungsi dgn baik qualitas sesuai dgn harga, lumayan dahhh",positive,fungsi baik kualitas sesuai harga lumayan
2,satu tidak berfungsi,negative,tidak fungsi
5,murah meriah,positive,murah riah
5,ok mantab sesuai pesanan kurir josss,positive,mantap sesuai pesan kurir mantap
5,"barang sampai dgn selamat cuma packing agak penyot dikit,,barang oklah",positive,barang dengan selamat packing penyet dikit barang oklah
5,mantap nian nih euy,positive,mantap nian nih
5,"barang ok, pengiriman cepat & selalu update status pengiriman",positive,barang kirim cepat baru status kirim
4,"untuk headset aman2 saja, cuma box nya pas di buka sedikit rusak",positive,headset aman cuma kotak pas buka rusak
5,lumayan,positive,lumayan
3,"kemasan pada penyok, untung barang tidak apa2 cuman kardus aja yg penyok",neutral,kemas penyok untung barang apa cuman kardus aja penyok
4,barang bagus,positive,barang bagus
3,"lubang casnya agak miring, jadi harus maksa dikit masukan port pas ngecasnya",neutral,lubang cas miring harus paksa dikit masuk port pas ngecasnya
5,"sesuai pesanan, berfungsi dengan baik semoga awet",positive,sesuai pesan fungsi baik moga awet
4,"pengirimanan, sangat cepat, barang biasa ajah. pesan 2 buah dgn barang yg sama. datangnya material barangnya tdk sama (berbeda bahan). dus nya udah penyok penyok. saat di...",positive,kirim cepat barang aja pesan buah barang sama datang material barang sama beda bahan dus udah penyok penyok di
5,untuk harga segini oke lah. bass masih kurang. pairing stereo sering putus. jarak conecting ga bs terlalu jauh. batre agak cepet habis. kualitas sesuai dengannharga,positive,harga gin oke bass kurang stereo putus jarak hubung bisa jauh baterai cepat habis kualitas sesuai dengannharga
5,"packing rapi dan kuat, proses kirim cepat, barang berfungsi baik..",positive,packing rapi kuat proses kirim cepat barang fungsi
5,"barang sesuai pesanan, proses dan pengiriman cepat, cuma selernya rada lama bales chat mungkin lagi banyak pesanan, barang sudah dicoba dan berfungsi dengan baik. semoga...",positive,barang sesuai pesan proses kirim cepat jual rada balas chat lagi pesan barang coba fungsi baik moga
3,"warna,ny tidak sesuai",neutral,warna ny sesuai
3,"kabel cas micro tidak berfungsi, sisanya aman",neutral,kabel cas mikro fungsi sisa aman
4,"ngebass cokk, gacocok ama kuping gw tapi pasti bakalan cocok ama kuping kalian yg suka suara ngebass a.k.a semberr, vocok buat kuping orang indo yg doyang dangdut tapi ga...",positive,ngebass cocok telinga bakal cocok telinga suka suara ngebass k sember cocok telinga orang indonesia yang doyan dangdut tapi tidak
5,bass nendang batre lumayan awet,positive,bass nendang baterai lumayan awet
5,"untuk harga segini udah seneng deh kalo bisa berfungsi dengan baik. tap untuk pause n play juga berfungsi, tap untuk naik turunin volume juga berfungsi walau agak sedikit...",positive,harga gin udah senang deh kalo fungsi baik tap pause fungsi tap naik turunin volume fungsi agak
5,"barang sudah saya terima dengan baik, tws nya bagus, suara bass mantap benar kerasa banget volume suara kenceng, gak nyesel pokok nya, semoga awet.",positive,barang saya terima baik tws bagus suara bass mantap rasa volume suara kenceng nyesal pokok moga awet
5,manttapppp,positive,mantap
5,mantap dah berfungsi semua,positive,mantap dah fungsi
5,good,positive,bagus
1,"kualitas barang kurang bagus, casenya susah dibuka dan agak keras, dibuka pun tidak bisa maksimal, cuma terbuka sedikit, seperti ada yang mengganjal di engselnya, lalu lu...",negative,kualitas barang bagus bungkus susah buka agak keras buka tidak maksimal buka seperti yang ganjal engsel lu
5,baru sampe...semoga awet dan bisa jadi langganan.,positive,sampai moga awet bisa langgan
5,sesuai harga,positive,sesuai harga
5,"barang bagus, cepat sekali sampe nya... soale pengiriman ok bangett",positive,barang bagus cepat sampai soal kirim banget
5,mantap jiwa joss,positive,mantap jiwa mantap
5,"bagus, ga jeda, tahan 2 hari",positive,bagus jeda tahan
3,indikator baterai pada masing² tws tidak berfungsi dengan baik,neutral,indikator baterai masing tws fungsi baik
5,"barang sesuai, dan memuaskan, seller juga cepat respon...",positive,barang sesuai muas jual cepat respon
5,"terima kasih, namun ada satu headset yang bagian kiri yang tidak ada suaranya keluar",positive,terima kasih headset bagi kiri tidak ada suara
5,"buat yang nanya kualitas suaranya bagus ini bagus banget untuk harga segini, untuk batre awet 4 jam. sudah 2/3minggu pemakaian masih awet",positive,yang kualitas suara bagus bagus harga gin untuk baterai awet jam minggu pakai awet
4,aman..berpubgsi,positive,aman berpubgsi
4,mantap,positive,mantap
5,"paket sudah diterima sesuai dengan pesanan, thanks gan",positive,paket terima sesuai pesan terima kasih juragan
5,barang bagus woryid sih,positive,barang bagus sih
4,bagus dgn harga murmer,positive,bagus harga murah riah
5,lumayannnn,positive,lumayan
5,berfungsi dengan baik,positive,fungsi baik
5,"yah buat harga 30rebu bass-nya standar harga segitu, buat game kaya pubg , ff ga rekomendasi sih delaynya terlalu lama smpe 3 detik",positive,yah harga rabu bass standar harga segitu game kaya rekomendasi sih delaynya lama detik
5,asalole,positive,
5,"paking rapi , pengirimannya cepat dan kwalitas hand freenya ok banget.",positive,emas rapi kirim cepat kualitas hand freenya sangat
5,"barang terkirim baik, cepat hanya saja kualitas memang jelek sesuai harga , yang sebelah kadang ga ngecas pas ditaruh jadi malah otomatis nyambung ke hp terus",positive,barang kirim cepat saja kualitas jelek sesuai harga belah kadang ngecas pas taruh malah otomatis nyambung ponsel
5,"packing rapi,,,barang pun aman👍",positive,packing rapi barang aman
5,"mantap, barang nya berfungsi, real pict & fast respond 👍🏻👍🏻",positive,mantap barang fungsi real gambar cepat respond
3,"tempat dusnya seperti tidak baru, sama kalau dipakai sering putus² suaranya.",neutral,dus tidak sama pakai putus suara
5,paket dah sampai..paket lengkap dan sesuai.. mudah-mudahan berfungsi dengan baik.. terima kasih.,positive,paket dah paket lengkap sesuai mudah mudah fungsi baik terima kasih
5,"barang sesuai, paket rapih",positive,barang sesuai paket rapih
4,"barangnya sih ok...tp kenapa yaa kemasan bagian dalamnya ada yg rusak atau bolong, tolong utk sellernya memperhatikan kemasan dalamnya meskipun barangnya oke atau dalam k...",positive,barang sih tapi ya kemas dalam yang rusak bolong utk sellernya perhati kemas dalam barang oke dalam
5,"bagus, tqpi masih kk yg m10",positive,bagus masih kakak
5,barang sesuai,positive,barang sesuai
5,"ya lumayan, pengiriman baik, packing baik, qualitas barang ya sesuai harga, suara agak sempreng.",positive,lumayan kirim packing kualitas barang sesuai harga suara cempreng
5,fast response dari spek di kardus sih udah bluetooth 5. sesuai spek,positive,cepat respon spesifikasi kardus sih udah bluetooth sesuai spesifikasi
2,"barang sudah sampai, tapi twsnya kanan semua, apa pas pairing tidak dicek lagi?",negative,barang sampai twsnya kanan apa pas cek
4,"barang nya berfungsi dengan baik, sesuai dengan harganya. cuma packingnya alakadarnya sampai-sampai box nya penyok. untung aja isinya aman. diperbaiki lagi buat pelayanan...",positive,barang fungsi baik sesuai harga packingnya ada sampai kotak penyok untung aja isi aman baik buat layan
5,ok..mntapp...,positive,mntapp
5,"pengiriman cepat, pesan sekarang besok sudah sampai, suara jg lumayan meskipun harga murah",positive,kirim cepat pesan besok sampai suara lumayan harga murah
4,"paket sudah mendarat masih belum di coba, masih sibuk.. semoga awet 🙏 *4 dulu",positive,paket darat belum coba sibuk moga awet
5,bagus,positive,bagus
5,mantab barang bgus dan berkualitas terimakasih kak,positive,mantap barang bagus kualitas terima kasih kak
5,"terima kasih barang sudah diterima, bentuk headset bagus dan koneksi mudab serta suaranya juga nyaman, keduanya berfungsi. sukses selalu!",positive,terima kasih barang terima bentuk headset bagus koneksi mudah suara nyaman fungsi sukses
5,sesuai tidak mengecawakan,positive,sesuai kecewa
5,bagus next order lagi,positive,bagus next order
5,sudah 1 bulan di pakai baru review. baterai masih lumayan awet 3 jam an.,positive,bulan pakai review baterai lumayan awet jam an
5,sesuai dengan gambar dan suaranya bagus,positive,sesuai gambar suara bagus
5,"berfungsi dengan baik, semoga bisa bertahan lama, pengiriman juga cepat",positive,fungsi baik moga tahan kirim cepat
5,mantabz barangnya realpict👍,positive,mantap barang foto asli
5,"bagus, semoga awet.",positive,bagus moga awet
5,"mantafff,sukses trus boss",positive,mantafff sukses trus boss
5,"sesuai pesanan, berfungsi dengan baik",positive,sesuai pesan fungsi baik
5,sangat bagus dan murah sekali. highly recommended.,positive,bagus murah highly
2,"audio delay, suara lumayan, speaker sebelah kiri mode charging lama (indikator merah). walau yg sebelah kanan sudah penuh, yg kiri tetap menunjukkan mode charging",negative,audio delay suara lumayan speaker belah kiri mode charging indikator merah belah kanan penuh yang kiri tunjuk mode charging
3,"kabel chargernya melepuh pas di cas. bentuknya kegedean juga, gak sesuai sama kuping indonesia.",neutral,kabel chargernya lepuh pas cas bentuk besar tidak sesuai telinga indonesia
5,"bagus banget, minus kalo jaringan jelek saat main game suara jadi delay",positive,bagus minus kalo jaring jelek main game suara delay
5,keren dan suaranya bagus bgt..,positive,keren suara bagus
5,****************************************************,positive,
5,produk berkualitas dengan harga terjangkau. semoga awet.,positive,produk kualitas harga jangkau moga awet
5,👍👍,positive,
3,tidak bisa cara menggunakanya,neutral,bisa menggunakanya
5,ok barang sesuai pesanan,positive,barang sesuai pesan
5,barang sesuai pesanan,positive,barang sesuai pesan
4,lumayan sesuai harga,positive,lumayan sesuai harga
4,sesuai dengan harganya lah,positive,sesuai harga
5,barang aman all mantap lah,positive,barang aman all mantap
4,"kedua produk diterima dengan baik. yang satu berfungsi sempurna. yang satu lagi, produk diterima dengan tanpa segel plastik, salah satu earpiece-nya tidak berfungsi, bahk...",positive,produk terima baik fungsi sempurna satu produk terima tanpa segel plastik salah satu earpiece tidak fungsi
5,"packing aman, rapi. tws berfungsi dg baik. suara bagus. semoga awet",positive,packing aman rapi tws fungsi baik suara bagus moga awet
5,"terima kasih barang sudah cepat sampai, tapi tahan tidak terlalu lama klo dengar musik, yg kiri seperti nya aga bermasalah sedikit, tapi semoga awet",positive,terima kasih barang cepat tapi tahan terlalu kalo dengar musik kiri nya masalah tapi moga awet
5,good,positive,bagus
4,"barang cepat sampai, tp masih bingung pengoperasiannya..",positive,barang cepat tapi bingung operasi
5,tws sekaligus untuk powerbank bagus banget dan masih menggunakan kabel casan kabel usb belum type c,positive,tws untuk powerbank bagus dan guna kabel charger kabel usb type
5,lumayan lah,positive,lumayan
4,"barang sesuai harga, good lah",positive,barang sesuai harga bagus
4,"packing aman banget. alhamdulillah. langsung di cas, setelah angka menunjukkan 100 💯 baru saya coba suaranya enak jernih ya sesuai dg file yg diputar. lumayan sekali lo...",positive,packing aman alhamdulillah langsung cas angka baru coba suara enak jernih sesuai file putar lumayan
2,"slot charger eror, gagal charge. harus ditekan pada bagian kuningan charger. overall suara oke. kualitas sesuai harga.",negative,slot charger eror gagal charge tekan bagi kuningan charger suara oke kualitas sesuai harga
5,"barang sudah sampai, terima kasih",positive,barang sampai terima kasih
4,mayanlah buat harga segitu. yg penting ada suaranya..,positive,lumayan harga segitu penting suara
4,worth it,positive,harga
5,mantap bass nya enak,positive,mantap bass enak
5,lumayan bagus sesuai harga,positive,lumayan bagus sesuai harga
5,"bagus coi gak salah beli,",positive,bagus salah beli
5,"sesuai deskripsi,,barang bagus,murah tapi tidak murahan,,,cocok di hp redmi 10c",positive,sesuai deskripsi barang bagus murah tidak murah cocok ponsel redmi
3,sesuai dengan harga gabisa berekspektasi tinggi,neutral,sesuai harga bisa berekspektasi
5,packing rap earphone berfungsi dengan baik,positive,packing rapi fungsi baik
5,"maaf baru di buka paketnya, barang bagus sudah di coba ok semua suara lumayanlah untuk harga segitu,tapi ok thanks untuk semua",positive,maaf di buka paket barang bagus di coba semua suara lumayan harga segitu ok terima kasih semua
4,"berfungsi dengan baik , tapi kabel charger nya warna nya kusam kaya bekas",positive,fungsi baik kabel charger warna kusam kaya bekas
3,"ya ada harga ada baranglah untuk basss biasa"" aja diharga segitu tapi oklah",neutral,harga ada barang basss aja harga segitu oklah
5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih,positive,pesan sampai aku coba normal moga awet terima kasih
5,barang layak pakai,positive,barang layak pakai
5,mantap jiwa,positive,mantap jiwa
3,kalo pengen nge cas harus di tekan dlu tidak langsung tempel headsetnya,neutral,kalo ken nge cas di tekan tidak langsung tempel headsetnya
5,"ok lah saya kasih bintang 5, tapi kedepannya tolong buku panduannya harus sesuai dengan benda nya, ini buku panduan kok gak sesuai sih, klo berfungsi alhamdulillah baik.",positive,saya kasih bintang depan buku pandu sesuai benda ini buku pandu tidak sesuai sih kalo fungsi alhamdulillah
5,mantul,positive,mantap
5,"barang sampai sesuai, kurir cepat, admin ramah",positive,barang sesuai kurir cepat admin ramah
5,"produk bagus... koneksi cepat, sesuai dengan harga",positive,produk bagus koneksi cepat sesuai harga
5,mantabzz,positive,mantap
5,berfungsi dengan baik,positive,fungsi baik
1,belom seminggu ga bisa si charge sebelah,negative,bom minggu bisa si charge belah
5,cukup aman u packingnya,positive,aman packingnya
4,👍 ok laah,positive,laah
5,"kualitas ok, harga murah",positive,kualitas harga murah
1,"penjual setelah barang sampai dan kita komplen tidak ada tanggapan di chat lampu led hanya nyala sebelah dan hedset kadang nyambung kadang juga kagak, *** emang buang bua...",negative,jual barang komplain ada tanggap chat lampu led nyala belah dan headset kadang nyambung kadang tidak buang
5,paket headset bluetooth nya sdh sampek pengiriman cepat blom di coba dan ngga bisa kasih lihat fotonya krn msh pergi luar kota makasih penjual dan toko pedia 🙏,positive,paket headset bluetooth sudah kirim cepat di coba tidak kasih lihat foto masih pergi kota terima kasih jual toko dia
5,pesenan sudah sampai sudah aq coba normal moga awet... terimakasih,positive,pesan sampai aku coba normal moga awet terima kasih
5,"bagus ga ada delay, lancar, rekomendasi banget buat yang cari tws murah dengan kualitas bagus",positive,bagus ada delay lancar rekomendasi buat cari tws murah kualitas bagus
5,top,positive,baik
5,"koneksinya per headset, jadi di hp ada 2 bt dan bisa dijoinkan klo mau dipakai ke 2 nya. utk kwalitas suara sdh cukup lumayan... 👍👍👍",positive,koneksi headset di ponsel bt bisa dijoinkan kalo pakai nya utk kualitas suara cukup lumayan
5,headsetnya bagus untung sampai dengan selamat tapi saat tb di sini kardus dan packaging nya kurang baik itu aja sih makasih,positive,headsetnya bagus untung dengan selamat saat di kardus emas kurang itu aja sih terima kasih
5,suara okelah..... untuk harga segini worth it lah yah,positive,suara oke harga gin harga yah
4,sesuai harga ringkih,positive,sesuai harga ringkih
5,berfungsi semoga awet,positive,fungsi moga awet
5,bass ok suara ok,positive,bass suara
4,"not bad lah , sesuai harga",positive,bad sesuai harga
1,"salah satu earphone nya menganga. barang masih berfungsi. pada saat unboxing tidak membuat video, sehingga komplain di tolak.",negative,salah nya nganga barang fungsi saat unboxing buat video komplain tolak
5,"barang ok,pengiriman cepat",positive,barang kirim cepat
5,lumayanlah,positive,lumayan
5,bagus....nyala semua .harga murmer udah dapet tws canggih....semoga awet deh.,positive,bagus nyala harga murah riah udah tws canggih moga awet deh
5,berpungsi baik semoga awet,positive,fungsi moga awet
1,"suara ny d luar expetasi..... ber hrap bass ny bgus,trnyta zonkkkkkkkk",negative,suara ny luar ekspektasi ber harap bass ny bagus trnyta jelek
5,barang bagus sesuai sama harganya 👍🏻,positive,barang bagus sesuai harga
5,seneng banget pesanan nya udah datang dan cepet banget sampai nya 😆,positive,senang pesan udah dan cepat sampai
5,mantap dapet discount.. brg ok bertungsu dgn baik,positive,mantap diskon barang fungsi baik
5,barang sudan didterima,positive,barang terima
5,"type bluetooth bukan f9, dan ini bukan produk original, dulu pernah beli yg ori beda ama yg ini",positive,type bluetooth produk original pernah beli ori beda yang ini
5,"packing aman. baterai tahan lama. ada slot usb untuk output, sepertinya bisa untuk power bank? suara ok",positive,packing aman baterai tahan ada slot usb keluar bisa power bank suara
5,mantap,positive,mantap
1,"cable usb tdk bs koneksi ke wireless headset, buka boks wireless susah",negative,kabel usb bisa koneksi wireless headset buka boks wireless susah
5,"alhamdulillah berang udah nyampe dan pengirimannya cepat ,belum di coba sih",positive,alhamdulillah barang udah dan kirim cepat di coba sih
4,"barang bagus, respon penjual kurang baik",positive,barang bagus respon jual baik
4,"packing sedikit penyok, tp gpp masih berfungsi dengan baik. cukup worth it dengan soalnya dapat diskon jadi 6k aja wkwk",positive,packing penyok tidak masih fungsi baik harga dengan dapat diskon aja
5,barang sampai tujuan sesuai estimasi,positive,barang tuju sesuai estimasi
5,puas bagus barang ya,positive,puas bagus barang
5,"packingnya rapi bangett , barangnya juga okee 🐰🐰🐰",positive,packingnya rapi banget barang oke
5,wireless headset luar biasa bagus banget suaranya ngebaaasss .. jernihnya suara dalam telinga ku tokonya amanah.. terimakasih and kurirnya... terimakasih bang..and tak lu...,positive,wireless headset biasa bagus suara ngebas jernih suara telinga ku toko amanah terima kasih and kurir terima kasih bang and lu
5,"bgs jg lmyn lah dgn hrg segitu yg ptg tws bs dngr music, main game dan tlpan tq",positive,bagus lumayan harga segitu penting tws dengar music main game telpon terima kasih
5,nyampenya cepet barang ok gaada kendala,positive,sampai cepat barang gaada kendala
4,kaget saya kira headset nya mati sebelah ternyata cuma bisa di pakai satu aja,positive,kejut kira headset mati belah cuma di pakai aja
5,mantab pengiriman cepat..kualitas suara bass nya ada..top lah sesuai harga dan ga kecewa,positive,mantap kirim cepat kualitas suara bass ada baik sesuai harga tidak kecewa
5,"not bad, semoga awet",positive,bad moga awet
1,barang rusak. gk bisa di cas.,negative,barang rusak gak di cas
5,"sesuai ekspektasi ni gaesss... pengiriman luar biasa sehari sampe, tp pilih ongkir regular hehehhe.. liat sendiri fotonya.. rekomendasi gaess...",positive,sesuai ekspektasi gaesss kirim biasa hari tapi pilih ongkir reguler hehehhe liat foto rekomendasi gaess
5,"barang sesuai dengan display yang ditampilkan, kualitas suara bagus sesuai dengan harganya, memuaskan dah 👍",positive,barang sesuai display tampil kualitas suara bagus sesuai harga muas dah
4,bass nya agak kurang,positive,bass agak
5,berfungsi dengan baik,positive,fungsi baik
5,paket sudah sampai dan dikemas dengan baik. terima kasih,positive,paket sampai kemas baik terima kasih
5,brang sdh sampai.. kiriman nya cepat. produk sesuai.. so far so good,positive,barang sampai kirim cepat produk sesuai so so bagus
1,"earphone yang sebelah kanan ga nyala, dicas pun trs aja merah kek gitu dari malem ampe siang. nyesel bgt!!! mana pelayanan admin nya buruk bgt!!! lain kali pikir pikir lg...",negative,belah kanan nyala cas terus aja merah kek dari malem siang nyesal mana layan admin buruk lain kali pikir pikir
5,mantap aman terpercaya,positive,mantap aman percaya
5,"mau mengomentari bagaimana nyatanya dpt harga murah dg kupon,tp klo bayar normal agak kecewa sih,kanan kiri tidak bisa bunyi bersamaan harus sendiri2.",positive,komentar nyata harga murah kupon kalo bayar normal kecewa sih kanan kiri bisa bunyi sama sendiri
1,ear bluetooth yg seblh kanan tdk berfungsi saya kecewa,negative,ear bluetooth belah kanan fungsi kecewa
5,ok,positive,
5,mantap,positive,mantap
5,"barang bagus, semoga awet barangnya gan..",positive,barang bagus moga awet barang juragan
5,mantap,positive,mantap
5,seller gokil sih....produk bagus berfungsi semua....hrg murah...ceept sampe,positive,jual gokil sih produk bagus fungsi harga murah ceept
5,pengirimannya cepat,positive,kirim cepat
5,"pengiriman cpt, smpai jg cepat dan amazwoww.. barangnya keyen bgtt sesui dgn kebutuhan sy hrga disc afgann keren pokoknya happy olshop😍",positive,kirim cepat juga cepat barang keren banget sesuai butuh harga diskon keren pokok senang toko online
5,"kualitas y mantep banget, alhamdulillah awet.",positive,kualitas mantap alhamdulillah awet
5,"packing aman, barang berfungsi dengan baik. udah bberapa kali beli disini amanah sesuai pesanan.",positive,packing aman barang fungsi baik udah kali beli amanah sesuai pesan
5,bagus,positive,bagus
5,"barang sudah sampai, terima kasih",positive,barang sampai terima kasih
4,kemasan penyok penyok tpi secara keseluruhan okei kaarna sesuai dengan harganya,positive,kemas penyok penyok cara oke sesuai harga
5,barang bagus pengirimannya ampun,positive,barang bagus kirim ampun
5,barang oke,positive,barang oke
5,"nyaman di pakai, dan suara yang dihasilkan ok",positive,nyaman pakai suara hasil
4,lumayan untuk harga segitu,positive,lumayan harga segitu
4,berfungsi sebagaimana mestinya.murah meriah oi🤪,positive,fungsi mesti murah riah
5,"terimakasih baru pertama kali beli di tokopedia ini,dan barang yang datang sesuai sama pict dan gk ada yg rusak. makasih sekali buat penjualnya sukses trus",positive,terima kasih pertama kali beli tokopedia barang datang sesuai gambar dan gak yang rusak terima kasih buat jual sukses trus
4,produk bekerja dengan baik. pengiriman sesuai estimasi. murah abes! cuma kurang di buds kiri magnetnya kebalik jd harus diganjel pas ngecharge.,positive,produk dengan kirim sesuai estimasi murah abis kurang buds kiri magnet balik harus ganjal pas ngecharge
5,"sangat baik, cepat. lebih bagus dalam bass daripada vokal suara, buat jedag-jedug makin mantap",positive,baik cepat bagus bass vokal suara jedag jedug mantap
2,kualitas lumayan..,negative,kualitas lumayan
5,"barang oke, respon cepat",positive,barang oke respon cepat
5,"setelah pemakaian sebulan, barangnya masih oke dan kualitas suaranya masih bagus, tapi daya tahan baterai nggak terlalu awet, pemakaian 3-4 jam langsung habis... selebihn...",positive,pakai bulan barang oke kualitas suara bagus daya tahan baterai terlalu awet pakai jam langsung habis lebih
5,packing nya aman dan barang baik baik saja,positive,packing aman barang baik
3,baru berapa kali dipake eh senggol sedikit langsung lepas,neutral,berapa kali dipake senggol langsung lepas
5,ok,positive,
5,"barang sesuai👍, semoga awet",positive,barang sesuai moga awet
5,murah tapi berkelas klau pakai 2nya bas baru muncul dan terasa nyaman di telinga 2jam pakai nonton,positive,murah kelas klau pakai bass muncul asa nyaman telinga jam pakai nonton
5,bagus bagus... cuman penyok tp gpp lah mungkin waktu kirimnya,positive,bagus bagus cuman penyok tidak mungkin kirim
5,packing bagus dan kualitas barang untuk tws oke,positive,packing bagus kualitas barang tws oke
4,bagus,positive,bagus
