rating,comment,sentiment
5,bagus,positive
3,1tidak menyala,neutral
5,puas brangnya sesusai,positive
5,lumayan lah walaupun bass nya kurang,positive
4,"barang udah sampai, packing bagus, barang mulus, dan lagi di cas, cuma belum sempet saya coba, semoga awet",positive
5,lumayan..,positive
1,"barang gue ga sampe, bacaannya tunggu investigasi dari kurir, tiba"" pelanggan tidak menindak lanjuti proses komplain",negative
4,barang sesuai hanya kabel canger gak bisa dipakai yg lain oke,positive
2,agak kurang puas,negative
4,Barang bagus packing aman cuma pengiriman agak lama ni sampai 4 hari dari tgl pembelian biasa 2 hari.,positive
5,pengiriman cepat dan pengemasan rapi . sesuai dgn yg d pilih,positive
5,mantap ga mengecewakan beli disini selain cepat,positive
5,"barang sampai dengan baik, dan lengkap",positive
5,berfungsi dengan baik,positive
2,pengiriman ok sayang kualitas tdk sesuai headset sebelah kiri tdk bisa di on (sll off) tempat charger nya jg tdk hidup saat diangkat headset keduanya.,negative
5,bagus,positive
5,berfungsi dengan baik. respon cepat.,positive
5,sesuai pesanan,positive
5,"Mantap gan, respon cepat dan baik, barang sudah sampai dg baik. barang sesuai dengan pesanan, semoga awet. Makasih gan",positive
4,cpet hbis batreny,positive
4,"paket sesuai,,minus nya budeg sebelah, lampu indikator speaker kalo mati suara juga mati,ke senggol mati",positive
5,barang mantap sesuai dengan harga,positive
2,"respon sangat lambat,pesanan tidak sesuai gambar dan deskripsi seharusnya hitam ini malah putih, mengkonfirmasi barangnya sangat lambat,dan bahannya tidak sesuai dengan h...",negative
5,joss,positive
5,mantap sih ini harga murah barangnya ngak murahan... ini sudah diluar nurul... semoga awek makasih penjual 👍👍👍,positive
5,barang ok,positive
5,puas karena lebih cepet sampe,positive
5,manteb 👍semoga bisa awet🥰,positive
3,barang nya baguss. tapi hanya bisa mono tidak bisa stereo,neutral
5,batre awet,positive
5,Berfungsing dengan baik. tapi belum coba buat telpon,positive
5,"Packing rapi, pengiriman cepat, sejauh ini aman dan kualitas audio bagus.",positive
5,packing nya lumayan tipis untuk ukuran headset kualitas setara harga Joss dah,positive
5,headset nya knpa GK bisa di pake barengan?🤣,positive
5,packing-nya aman barang sampai dengan selamat dan berfungsi normal,positive
5,mantabs,positive
5,manteb sehhh ini dengan harga segitu,positive
5,"Barang bagus, berfungsi dengan baik, pas dicas juga tidak kendor, overall mantap lah",positive
3,salah satu bagian tidak berfungsi semestinya,neutral
5,"packing aman rapih, suara bagus gada yang rusak siih",positive
5,"packing rapi seller ramah, pokoknya the best🔥🔥🔥🔥",positive
5,"berfungsi dgn baik qualitas sesuai dgn harga, lumayan dahhh",positive
2,satu tidak berfungsi,negative
5,murah meriah,positive
5,ok mantab sesuai pesanan kurir josss,positive
5,"barang sampai dgn selamat cuma packing agak penyot dikit,,barang oklah",positive
