text,sentiment
barang kemas bagus kurir ok,positive
mantap suara,positive
fungsi baik moga awet,positive
lumayan harga segitu suara,positive
ok,positive
kotak pernh buka liat riview nya dmana kotak bepelastik untung barang aman,neutral
terima kirim cepat kualitas oke,positive
dicharge belum coba kirim cepat,positive
lumayan nyata tws nya,positive
fungsi baik normal suara kategori lumayan moga awet,positive
dok charger nya dah tidak bisa cas cepat mati,negative
ok si harga gin lumayan suara,positive
tidak sesuai pesan,negative
pesan terima baik,positive
packing aman alhamdulillah langsung cas angka coba suara enak jernih sesuai file putar lumayan,positive
terima kasih barang terima baik,positive
barang kondisi aman packing rapih barang kualitas suara hasil tidak kecewa pokok tidak sesal beli barang,positive
barang original,positive
produk original rekomended jual,positive
barang sesuai foto mantap,positive
mantap barang nya,positive
alhamdulillah paket selamat moga manfaat,positive
headsetnya susah dimatiin jari charging dock tws nya kalo gerak dikit otomatis nyala headset charging dock nya yaah,negative
trm kasih respon cepat barang smpi aman moga sukses,positive
packing aman rapi tws fungsi baik terima kasih jual tokopedia,positive
packing aman barang oke fungsi suara dar keras bass nya nendang barang original harga jangkau koneksi android lancar,positive
packing rapih kualitas suara oke tidak sumber jual responsif kurir cepat terima kasih,positive
barang sesuai terima kasih tidak foto dah bawa anak ku,positive
bagus tidak nyesal beli kirim cepat barang tidak rusak mantap dehh,positive
suara kadang hilang kanan mati,negative
barang fungsi mesti,positive
lumayan kadang bunyi kresek,positive
barang pesan biji kirim hati toko tipu tipu toko,negative
beli suara ngebass gilir beli suara kering,neutral
barang mantap,positive
packing rapi,positive
mantap jiwa cepat,positive
kelazzz,positive
sesuai harga ringkih,positive
wireless headset bagus suara ngebas jernih suara telinga ku toko amanah terima kasih and kurir terima kasih bang and lu,positive
keren murah bagus,positive
barang tidak sesuai beli beda type f belum coba tidak bisa nyalain tidak sisa daya mudah an bisa,positive
barang sesuai pesan alhamdulillah fungsi baik,positive
sesuai harga kualitas bagus,positive
bagus kualitas nya olahraga,positive
kirim cepat pesan besok suara lumayan harga murah,positive
mantap barang,positive
suara bagus sinyal suka hilang an,positive
baik,positive
salah bisa dengerin nya,negative
sesuai deskripsi fungsi normal moga awet,positive
barang bagus suara bagus quality bagus fungsi bagus beli,positive
alhamdulillahh sesuai pesan mantap,positive
bisa pas hubung hape tidak bisa media bisa salah hadeh,neutral
oke panas,positive
suara nya dominan kiri,neutral
kualitas bagus ekspedisi,positive
barang headset belah kiri gaada suara,neutral
terima kasih,positive
harga gin harga suara lumayan bagus bassnya mantabss,positive
mantap,positive
minus kadang suka putus maklum harga gin oke kualitas suara bagus,positive
emas cepat kirim cepat packing rapi,positive
suara jernih ngebass lumayan,positive
lumayan oke,positive
suara mantap kalo dipake telinga sakit,neutral
alhamdulillah barang udah fungsi mesti terima kasih jual,positive
terima kasih kak barang bagus udah terima baik kirim cepat toko amanah kurir baik,positive
beli kali jual respon cepat produk fungsi baik kirim sesuai estimasi moga jual sukses,positive
tidak fungsi,negative
pas kali coba suara belah kanan kok tidak pair seblah kiri alhasil belah kanan tidak suara coba masukin bluetooth nya,positive
lumayan sesuai harga,positive
kado kotak cacat cacat packing udah bubble,positive
barang terima sesuai pesan stlh pakai daya tahan baterai bt hny jam isi ulang tidak terang bt kiri kanan busa pakai semb,positive
moga awet,positive
packing rapi,neutral
packing ok kirim ok barang sesuai pesan fungsi baik,positive
notbad harga segitu lumayan awet baterai headset,positive
sesuai pesan,positive
baterai awet mantap,positive
mati belah chat gagg respon,negative
kualitas suara std baterai tidak thn lm cepat drop plg lm menit,neutral
muas mksih,positive
bagus harga harga gin,positive
harga sesuai kualitas,positive
mantap,positive
baterai durasi cepat habis oke suara mantap utama bassnya asa kirim cepat langsung,positive
keren bagus pokok,positive
barang bagus kualitas suara baguus,positive
barang oke mantap belum coba jual amanah kurir bagus job,positive
barang sesuai respon cepat kirim,positive
bagus suara lumayan,positive
mamtul juragan,positive
bagus nyaman telinga,positive
barang tidak gue pesan power bank kirim,negative
amanah kualitas cepat,positive
rusak belah,negative
lumayan murah kwaalitas ok,positive
ok barang ka terima kasih ka,positive
harga harga segitu suara lumayan kirim cepat sat set tidak nyesal,positive
mantap toko langgan tidak kecewa,positive
kirim cepat packing baik kualitas audio oke harga staging luas enak quality sesuai harga baterai awet,positive
keren packaginya tipis dus penyet,positive
barang bagus kepake aman,positive
alhamdulillah barang fitur kerja baik suara lumayan harga ribu moga headsetnya bisa awet,positive
barang original,positive
packing aman baterai tahan slot usb bisa power bank suara ok,positive
pakai belah kanan kadang kemresek kadang tidak volume mentok,positive
barang belum terima tidak tau kualitas nya,negative
kecewa barang tidak sesuai gambar,negative
barang udah coba bagus suara enak moga aja tahan,positive
detail pesan pesan bukan catat tulis kirim tetep aja kalo barang tidak hapus aja kirim,negative
sila belanja toko ok,positive
sesuai harga belah kiri tidak suara,positive
mantbss,positive
barang twsnya kanan pas tidak cek,negative
sesuai pesan moga kuat awet terima kasih,positive
terima kasih mantap,positive
kilat,positive
barang ok sesuai pesan mantap mantap mantap,positive
mantap sesuai pesan recomended jual,positive
barang terima charge full battery nya drop cepat tidak pakai kualitas muas,negative
bagus,positive
kirim cepat mantap,positive
mantap,positive
kualitas fisik sesuai harga kadang putus suara notif keras bingung nurunin volume notifnya buku tidak lengkap kualitas suara,positive
packing aman tws fungsi display led tws bagus suara standar sayang headsetnya telinga,positive
barang nya bagus,positive
ken beli tidak duit,positive
cepat respon cepat jual,positive
sesuai,positive
ok,positive
mantap bang sip barang lower middle class is bagus,positive
barang terima tes suara volume,neutral
bedentummm,positive
barang sesuai katalog fungsi baik,positive
barang oke bagus pokok,positive
toko amanah percaya kasi tokcer produk sesuai pesan lumayan harga low end suara jernih layar sentuh cuman rada equali,positive
ok,positive
packing rapi kualitas bagus suara mantap,positive
barang oke nyata headsetnya lumayan,positive
barang original,positive
lubang soundnya belah kiri belah bad qc,neutral
